•s returned: 0x49D4
Should be 0x49D4

SGCanScience>Time:8472|Press:836|LM35:56|NTC:541|GyrX:-330|GyrY:-297|GyrZ:-71|AccX:1155|AccY:-49|AccZ:-571|MagX:-9558|MagY:-2477|MagZ:-133|
SGCanScience>Time:8615|Press:837|LM35:56|NTC:540|GyrX:92|GyrY:-15|GyrZ:165|AccX:1279|AccY:21|AccZ:-841|MagX:-9452|MagY:-2310|MagZ:-190|
SGCanScience>Time:8759|Press:842|LM35:55|NTC:535|GyrX:-223|GyrY:305|GyrZ:-137|AccX:1143|AccY:-111|AccZ:-894|MagX:-9454|MagY:-2311|MagZ:-210|
SGCanScience>Time:8902|Press:838|LM35:55|NTC:538|GyrX:-365|GyrY:312|GyrZ:313|AccX:995|AccY:-184|AccZ:-733|MagX:-9531|MagY:-2094|MagZ:-43|
SGCanScience>Time:9046|Press:837|LM35:56|NTC:539|GyrX:-458|GyrY:-331|GyrZ:350|AccX:1281|AccY:-258|AccZ:-750|MagX:-9475|MagY:-1940|MagZ:-651|
SGCanScience>Time:9191|Press:836|LM35:56|NTC:541|GyrX:-268|GyrY:200|GyrZ:13|AccX:1191|AccY:-175|AccZ:-815|MagX:-9523|MagY:-1928|MagZ:-138|
SGCanScience>Time:9334|Press:837|LM35:57|NTC:540|GyrX:-156|GyrY:18|GyrZ:77|AccX:1407|AccY:-50|AccZ:-808|MagX:-9635|MagY:-1993|MagZ:-90|
SGCanScience>Time:9476|Press:838|LM35:56|NTC:539|GyrX:-659|GyrY:84|GyrZ:-513|AccX:1203|AccY:-137|AccZ:-521|MagX:-9782|MagY:-2259|MagZ:0|
SGCanScience>Time:9619|Press:838|LM35:55|NTC:539|GyrX:2|GyrY:367|GyrZ:-67|AccX:1011|AccY:232|AccZ:-249|MagX:-9914|MagY:-2502|MagZ:132|
SGCanScience>Time:9760|Press:836|LM35:55|NTC:540|GyrX:207|GyrY:-1377|GyrZ:-656|AccX:1156|AccY:125|AccZ:-1022|MagX:-9605|MagY:-2190|MagZ:-349|
SGCanScience>Time:9906|Press:841|LM35:55|NTC:535|GyrX:-313|GyrY:-929|GyrZ:-624|AccX:1055|AccY:94|AccZ:-1163|MagX:-9146|MagY:-1853|MagZ:-803|
SGCanScience>Time:10051|Press:842|LM35:56|NTC:536|GyrX:-255|GyrY:-516|GyrZ:291|AccX:1161|AccY:43|AccZ:-1301|MagX:-8756|MagY:-1569|MagZ:-1255|
SGCanScience>Time:10196|Press:837|LM35:56|NTC:540|GyrX:-532|GyrY:-199|GyrZ:270|AccX:931|AccY:-75|AccZ:-974|MagX:-8803|MagY:-1661|MagZ:-1460|
SGCanScience>Time:10342|Press:841|LM35:56|NTC:535|GyrX:-179|GyrY:-225|GyrZ:-272|AccX:1034|AccY:-313|AccZ:-1064|MagX:-8724|MagY:-1719|MagZ:-1687|
SGCanScience>Time:10487|Press:842|LM35:55|NTC:535|GyrX:362|GyrY:81|GyrZ:-431|AccX:864|AccY:-33|AccZ:-1004|MagX:-8777|MagY:-1764|MagZ:-1815|
SGCanScience>Time:10633|Press:838|LM35:56|NTC:538|GyrX:270|GyrY:135|GyrZ:-321|AccX:1014|AccY:576|AccZ:-1098|MagX:-8937|MagY:-2123|MagZ:-1183|
SGCanScience>Time:10776|Press:837|LM35:56|NTC:540|GyrX:-780|GyrY:77|GyrZ:-68|AccX:953|AccY:65|AccZ:-922|MagX:-9100|MagY:-2474|MagZ:-1259|
SGCanScience>Time:10919|Press:836|LM35:56|NTC:540|GyrX:44|GyrY:-122|GyrZ:-179|AccX:994|AccY:47|AccZ:-890|MagX:-9171|MagY:-2591|MagZ:-1247|
SGCanScience>Time:11065|Press:841|LM35:56|NTC:535|GyrX:266|GyrY:-124|GyrZ:-340|AccX:919|AccY:87|AccZ:-851|MagX:-9120|MagY:-2634|MagZ:-1209|
